FromEdgeID;ToEdgeID;RunTime
375861848;207716520;883
375861848;23044566;1207
375861848;4368690;549
375861848;451458155;526
375861848;375861848;1
375861848;-420483060#0;556
375861848;24041366;234
375861848;455953261#1;604
375861848;111251392;221
375861848;-333626093;516
375861848;4389557#1;207
375861848;42813669;835
375861848;24735700;951
375861848;456213456;149
375861848;231262268#0;871
375861848;27606891#2;229
375861848;-10947989;1014
375861848;98410013#0;1018
375861848;172282359;717
375861848;148288810#2;1160
375861848;76402289;210
375861848;461910870#2;941
375861848;30157285;782
375861848;24160797;1040
375861848;4616321#2;500
375861848;-259536422;1563
375861848;-39496182#0;908
375861848;MA047;524
375861848;-669433184;675
375861848;4802807#2;534
375861848;39473294;974
375861848;41976565;714
375861848;-671403217;196
375861848;-165465028#0;179
375861848;4486596#2;648
375861848;24673480;700
375861848;30699893;656
375861848;-469999015;935
375861848;469999020;784
375861848;120395207#1;951
375861848;30157290;771
375861848;469999032;870
375861848;30157292#1;770
375861848;-469999029;928
375861848;25369033#2;504
375861848;15926759;527
375861848;4594894#4;321
375861848;57936173#3;261
375861848;223737429;952
375861848;-461331989#0;844
375861848;28819804;301
375861848;-MA068;1018
375861848;23109073#1;801
375861848;52158843#1;478
375861848;-857983579;420
375861848;243102981;419
375861848;806903754;372
375861848;385888165#4;574
375861848;-31002335#0;1033
375861848;138515677#4;976
375861848;256245721;1057
375861848;710761406;370
375861848;30143978#1;695
375861848;-858123638#0;1276
375861848;4463221#1;706
375861848;451621867#1;1131
375861848;-451621866;1145
375861848;4392634#2;1069
375861848;MA080;1021
375861848;-450086133;848
375861848;32197350#0;790
375861848;139806486#2;870
375861848;-79701272#0;1288
375861848;30709383;1346
375861848;151043332#5;857
375861848;332306828#3;538
375861848;4442099#1;582
375861848;450189363;720
-420483060#0;E19.203;499
-420483060#0;671403224#1;689
-420483060#0;-140336718#0;1719
-420483060#0;30276434#1;691
-420483060#0;914393586;710
-420483060#0;4517104;879
